ID,Incident Type, Date Reported, Time and Date Occurred,Address,latitude,longitude, Disposition
233,Suspicious Drugs, 0050 09/28/2013, 0050 09/28/2013," Sicard and Morrell, NJ",40.501911,-74.453200, Arrest
234,Arrest on Warrant, 1121 09/28/2013, 1530 09/25 - 1100 09/28/2013," 110 Paterson Street, NJ",40.494467,-74.448534, Open Case
235,Theft, 1324 09/28/2013, Unknown," 64 College Ave, NJ",40.500670,-74.449330, Open Case
236,Burglary/Criminal Mischief, 1435 09/28/2013, 1435 09/28/2013," 100 Somerset Street, NJ",40.496271,-74.445874, Arrest
237,Arrest on Warrant/Theft, 1806 09/28/2013, 1456 09/28/2013," 169 College Ave, NJ",40.504402,-74.453090, Open Case
238,False Public Alarm, 1746 09/28/2013, 1746 09/28/2013," 62 Road 3, NJ",40.521241,-74.431272, Open Case
239,Theft, 1811 09/28/2013, 1811 09/28/2013," 62 Road 3, NJ",40.521241,-74.431272, Open Case
240,Theft, 1902 09/28/2013, 1902 09/28/2013," 43 College Ave, NJ",40.500647,-74.449260, Open Case
241,Theft, 1944 09/28/2013, 0400 09/27/2013," 93 Gibbons Circle, NJ",40.486322,-74.431708, Open Case
242,Harassment, 1401 09/29/2013, 2000-2035 09/28/2013," 615 George Street, NJ",40.502688,-74.446701, Open Case
243,Criminal Mischief, 2207 09/28/2013, 2207 09/28/2013," 91 Gibbons Circle, NJ",40.485277,-74.432159, Unfounded
244,Suspicious Drugs, 2357 09/28/2013, 2357 09/28/2013," 30 Easton Ave, NJ",40.496852,-74.446978, Unfounded
245,Suspicious Drugs, 0218 09/29/2013, 0000 09/29/2013," Lafayette and Sicard, NJ",40.504712,-74.456036, Arrest
246,DWI, 0831 09/29/2013, 0553 09/29/2013," College and Lafayette, NJ",40.504902,-74.455085, Arrest
247,DWI`, 1329 09/29/2013, 1040-1340 09292013," 151 Albany Street, NJ",40.496477,-74.445479, TOTNBPD
248,Theft, 1659 09/29/2013, 1659 09/29/2013," 39 Biel Road East, NJ",40.478942,-74.432261, Unfounded
249,Suspicious Drugs, 1855 09/29/2013, 1000-1224 09/29/2013," 59 Biel Road, NJ",40.478717,-74.431375, Open Case
250,Theft, 1752 09/29/2013, 1400-1718 09/29/2013," 290 George Street, NJ",40.491800,-74.443010, Open Case
251,Theft/Criminal Mischief, 1848 09/29/2013, 1755 -1810 09/29/2013," 62 Road 3, NJ",40.521241,-74.431272, Open Case
252,Theft, 2008 09/28/2013, 1936 09/29/2013," 62 Road 3, NJ",40.521241,-74.431272, Open Case
253,Theft, 2302 09/30/2013, 2100-2115 09/29/2013," 105 Joyce Kilmer Ave, NJ",40.489263,-74.451345, Open Case
254,Theft, 2349 09/29/2013,9/27/2013," 23 Bishop Place, NJ",40.501884,-74.450200, Open Case
255,Sexual Assault, 0000 09/30/2013, 0000 09/30/2013," 30 Easton Ave, NJ",40.496852,-74.446978, Closed Case
256,Suspicious Drugs, 0103 09/30/2013, 0103 09/30/2013," 93 Gibbons Circle, NJ",40.486322,-74.431708, Unfounded
257,Suspicious Drugs, 0715 09/30/ 2013, 2200 09/28 - 0800 09/29/2013," 671 Hoes Lane West, NJ",40.525149,-74.470615, Open Case
258,Theft, 1530 09/30/2013, 1100-1200 09/27/2013," 55 Commercial Ave, NJ",40.487919,-74.439785, Open Case
259,Theft, 1651 09/30/3013, 2200 08/31 - 1340 09/30/2013," 220 Marvin Lane, NJ",39.711291,-75.217182, Open Case
260,Theft, 1745 09/30/2013, 1230-1745 09/30/2013," 33 Livingston Ave, NJ",40.492800,-74.444958, Open Case
261, Theft, 2319 09/30/2013, 1900-1930 09/28/2013," 160 Frelinghuysen, NJ",40.822322,-74.500433, Open Case
262,Harassment, 2326 09/30/2013, 2045-2240 09/30/2013," 130 College Ave, NJ",40.502996,-74.453406, Open Case
263,Suspicious Drugs, 0009 10/01/2013, 0009 10/01/2013," 173 Ryders Lane, NJ",40.460438,-74.425476, Unfounded
264,Theft, 1025 10/01/2013, 1700 09/30 - 1030 10/01/2013," 620 George Street, NJ",40.505028,-74.451048, Open Case
265,Theft, 1644 10/01/2013, 2000 09/24 - 1644 10/01/2013," 38 Biel Road West, NJ",40.478377,-74.431513, Open Case
